Design ; Gen Effort ; Map Effort ; Opt Effort ;Slack ; Data Path ; Cell Count ; Cell Area ; Total Area ; Power Unit ; Power Mult ; Total Power
ripple_carry_adder_32bits ; high ; high ; high ;186899 ; 13101 ; 31 ; 620.595 ; 1054.994 ; W ; 0 ; 1.97027e-04
ripple_carry_adder_32bits ; high ; high ; medium ;186899 ; 13101 ; 31 ; 620.595 ; 1054.994 ; W ; 0 ; 1.97027e-04
ripple_carry_adder_32bits ; high ; high ; low ;187030 ; 12970 ; 93 ; 853.318 ; 1498.130 ; W ; 0 ; 2.16155e-04
ripple_carry_adder_32bits ; high ; high ; none ;186899 ; 13101 ; 31 ; 620.595 ; 1054.994 ; W ; 0 ; 1.97027e-04
ripple_carry_adder_32bits ; high ; medium ; high ;186899 ; 13101 ; 31 ; 620.595 ; 1054.994 ; W ; 0 ; 1.97027e-04
ripple_carry_adder_32bits ; high ; medium ; medium ;186899 ; 13101 ; 31 ; 620.595 ; 1054.994 ; W ; 0 ; 1.97027e-04
ripple_carry_adder_32bits ; high ; medium ; low ;187030 ; 12970 ; 93 ; 853.318 ; 1498.130 ; W ; 0 ; 2.16155e-04
ripple_carry_adder_32bits ; high ; medium ; none ;186899 ; 13101 ; 31 ; 620.595 ; 1054.994 ; W ; 0 ; 1.97027e-04
ripple_carry_adder_32bits ; high ; low ; high ;186924 ; 13076 ; 31 ; 620.595 ; 1054.994 ; W ; 0 ; 1.97046e-04
ripple_carry_adder_32bits ; high ; low ; medium ;186924 ; 13076 ; 31 ; 620.595 ; 1054.994 ; W ; 0 ; 1.97046e-04
ripple_carry_adder_32bits ; high ; low ; low ;187060 ; 12940 ; 155 ; 1086.042 ; 1941.265 ; W ; 0 ; 2.22844e-04
ripple_carry_adder_32bits ; high ; low ; none ;186924 ; 13076 ; 31 ; 620.595 ; 1054.994 ; W ; 0 ; 1.97046e-04
ripple_carry_adder_32bits ; high ; none ; high ;186899 ; 13101 ; 31 ; 620.595 ; 1054.994 ; W ; 0 ; 1.97027e-04
ripple_carry_adder_32bits ; high ; none ; medium ;186899 ; 13101 ; 31 ; 620.595 ; 1054.994 ; W ; 0 ; 1.97027e-04
ripple_carry_adder_32bits ; high ; none ; low ;187030 ; 12970 ; 93 ; 853.318 ; 1498.130 ; W ; 0 ; 2.16155e-04
ripple_carry_adder_32bits ; high ; none ; none ;186899 ; 13101 ; 31 ; 620.595 ; 1054.994 ; W ; 0 ; 1.97027e-04
ripple_carry_adder_32bits ; medium ; high ; high ;186899 ; 13101 ; 31 ; 620.595 ; 1054.994 ; W ; 0 ; 1.97027e-04
ripple_carry_adder_32bits ; medium ; high ; medium ;186899 ; 13101 ; 31 ; 620.595 ; 1054.994 ; W ; 0 ; 1.97027e-04
ripple_carry_adder_32bits ; medium ; high ; low ;187030 ; 12970 ; 93 ; 853.318 ; 1498.130 ; W ; 0 ; 2.16155e-04
ripple_carry_adder_32bits ; medium ; high ; none ;186899 ; 13101 ; 31 ; 620.595 ; 1054.994 ; W ; 0 ; 1.97027e-04
ripple_carry_adder_32bits ; medium ; medium ; high ;186899 ; 13101 ; 31 ; 620.595 ; 1054.994 ; W ; 0 ; 1.97027e-04
ripple_carry_adder_32bits ; medium ; medium ; medium ;186899 ; 13101 ; 31 ; 620.595 ; 1054.994 ; W ; 0 ; 1.97027e-04
ripple_carry_adder_32bits ; medium ; medium ; low ;187030 ; 12970 ; 93 ; 853.318 ; 1498.130 ; W ; 0 ; 2.16155e-04
ripple_carry_adder_32bits ; medium ; medium ; none ;186899 ; 13101 ; 31 ; 620.595 ; 1054.994 ; W ; 0 ; 1.97027e-04
ripple_carry_adder_32bits ; medium ; low ; high ;186924 ; 13076 ; 31 ; 620.595 ; 1054.994 ; W ; 0 ; 1.97046e-04
ripple_carry_adder_32bits ; medium ; low ; medium ;186924 ; 13076 ; 31 ; 620.595 ; 1054.994 ; W ; 0 ; 1.97046e-04
ripple_carry_adder_32bits ; medium ; low ; low ;187060 ; 12940 ; 155 ; 1086.042 ; 1941.265 ; W ; 0 ; 2.22844e-04
ripple_carry_adder_32bits ; medium ; low ; none ;186924 ; 13076 ; 31 ; 620.595 ; 1054.994 ; W ; 0 ; 1.97046e-04
