effort,clock,width,slack,instances,area,potencia
low,2000,8,31,187,467.856,1.02551e+00
low,2000,16,26,361,875.520,1.93496e+00
low,2000,32,16,719,1720.602,3.84434e+00
low,3000,8,18,230,571.140,1.68874e+00
low,3000,16,12,489,1264.374,3.60489e+00
low,3000,32,0,1058,2837.574,7.85084e+00
low,4000,8,-29,303,876.546,2.89730e+00
low,4000,16,-52,577,1605.348,5.48154e+00
low,4000,32,-80,1208,3208.644,1.10769e+01
medium,2000,8,51,118,390.564,9.77223e-01
medium,2000,16,2,288,769.842,1.94100e+00
medium,2000,32,1,554,1476.414,3.97804e+00
medium,3000,8,0,175,449.730,1.57829e+00
medium,3000,16,0,391,1007.874,3.58547e+00
medium,3000,32,0,873,2503.782,8.24045e+00
medium,4000,8,-11,262,932.634,3.06796e+00
medium,4000,16,-41,513,1608.426,5.79614e+00
medium,4000,32,-79,956,2970.270,1.14207e+01
high,2000,8,51,118,390.564,9.77223e-01
high,2000,16,2,299,787.284,2.17622e+00
high,2000,32,0,578,1551.654,4.14147e+00
high,3000,8,0,175,447.678,1.57416e+00
high,3000,16,0,390,1006.848,3.57624e+00
high,3000,32,0,877,2509.938,8.28175e+00
high,4000,8,-5,299,1061.568,3.33662e+00
high,4000,16,-34,568,1802.340,6.30011e+00
high,4000,32,-56,1235,3826.980,1.34848e+01
